Date,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,ResearchAndDevelopment,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncome,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalExpenses,InterestIncome,InterestExpense,NetInterestIncome,EBIT
6/30/21,"11,958,000,000","9,074,000,000","2,884,000,000","1,549,000,000","973,000,000","576,000,000","1,335,000,000","-64,000,000","11,000,000","75,000,000","22,000,000","45,000,000","1,293,000,000","115,000,000","1,142,000,000",1.18,1.02,"971,000,000","1,119,000,000","10,623,000,000","11,000,000","75,000,000","-64,000,000","1,368,000,000"
3/31/21,"10,389,000,000","8,174,000,000","2,215,000,000","1,722,000,000","1,056,000,000","666,000,000","493,000,000","-89,000,000","10,000,000","99,000,000","129,000,000","28,000,000","533,000,000","69,000,000","438,000,000",0.46,0.39,"961,000,000","1,133,000,000","9,896,000,000","10,000,000","99,000,000","-89,000,000","632,000,000"
12/31/20,"10,744,000,000","8,678,000,000","2,066,000,000","1,491,000,000","969,000,000","522,000,000","575,000,000","-240,000,000","6,000,000","246,000,000","44,000,000","44,000,000","379,000,000","83,000,000","239,000,000",,,,,"10,169,000,000","6,000,000","246,000,000","-240,000,000","625,000,000"
9/30/20,"8,771,000,000","6,708,000,000","2,063,000,000","1,254,000,000","888,000,000","366,000,000","809,000,000","-157,000,000","6,000,000","163,000,000","-97,000,000","-97,000,000","555,000,000","186,000,000","331,000,000",0.32,0.27,"937,000,000","1,105,000,000","7,962,000,000","6,000,000","163,000,000","-157,000,000","718,000,000"
6/30/20,"6,036,000,000","4,769,000,000","1,267,000,000","940,000,000","661,000,000","279,000,000","327,000,000","-162,000,000","8,000,000","170,000,000","-15,000,000","-15,000,000","150,000,000","21,000,000","104,000,000",0.112,0.1,"930,000,000","1,035,000,000","5,709,000,000","8,000,000","170,000,000","-162,000,000","320,000,000"
3/31/20,"5,985,000,000","4,751,000,000","1,234,000,000","951,000,000","627,000,000","324,000,000","283,000,000","-159,000,000","10,000,000","169,000,000","-54,000,000","-54,000,000","70,000,000","2,000,000","16,000,000",0.018,0.016,"915,000,000","995,000,000","5,702,000,000","10,000,000","169,000,000","-159,000,000","239,000,000"
12/31/19,"7,384,000,000","5,993,000,000","1,391,000,000","1,044,000,000","699,000,000","345,000,000","347,000,000","-160,000,000","10,000,000","170,000,000","-13,000,000","-25,000,000","174,000,000","42,000,000","105,000,000",0.116,0.112,"900,000,000","935,000,000","7,037,000,000","10,000,000","170,000,000","-160,000,000","344,000,000"
9/30/19,"6,303,000,000","5,112,000,000","1,191,000,000","930,000,000","596,000,000","334,000,000","261,000,000","-170,000,000","15,000,000","185,000,000","85,000,000","85,000,000","176,000,000","26,000,000","143,000,000",0.16,0.156,"895,000,000","920,000,000","6,042,000,000","15,000,000","185,000,000","-170,000,000","361,000,000"
6/30/19,"6,349,676,000","5,428,630,000","921,046,000","971,159,000","647,261,000","323,898,000","-50,113,000","-161,617,000","10,362,000","171,979,000","-158,101,000","-40,756,000","-369,831,000","19,431,000","-408,334,000",-0.462,-0.462,"883,270,000","883,270,000","6,399,789,000","10,362,000","171,979,000","-161,617,000","-197,852,000"
3/31/19,"4,541,464,000","3,975,721,000","565,743,000","1,044,103,000","703,929,000","340,174,000","-478,360,000","-148,691,000","8,762,000","157,453,000","-17,721,000","25,750,000","-644,772,000","22,873,000","-702,135,000",-0.82,-0.82,"864,945,000","864,945,000","5,019,824,000","8,762,000","157,453,000","-148,691,000","-487,319,000"
12/31/18,"7,225,873,000","5,782,973,000","1,442,900,000","1,023,749,000","667,452,000","356,297,000","419,151,000","-167,375,000","7,348,000","174,723,000","-19,820,000","-14,205,000","231,956,000","21,878,000","139,483,000",0.162,0.156,"860,130,000","895,130,000","6,806,722,000","7,348,000","174,723,000","-167,375,000","406,679,000"
9/30/18,"6,824,413,000","5,300,748,000","1,523,665,000","1,080,724,000","729,876,000","350,848,000","442,941,000","-168,313,000","6,907,000","175,220,000","-3,308,000","22,876,000","271,320,000","16,647,000","311,516,000",0.364,0.35,"854,465,000","854,465,000","6,381,472,000","6,907,000","175,220,000","-168,313,000","446,540,000"
6/30/18,"4,002,231,000","3,383,301,000","618,930,000","1,136,888,000","750,759,000","386,129,000","-517,958,000","-158,518,000","5,064,000","163,582,000","-52,523,000","50,911,000","-728,999,000","13,707,000","-717,539,000",-0.844,-0.844,"849,985,000","849,985,000","4,520,189,000","5,064,000","163,582,000","-158,518,000","-565,417,000"
3/31/18,"3,408,751,000","2,952,225,000","456,526,000","1,053,500,000","686,404,000","367,096,000","-596,974,000","-144,332,000","5,214,000","149,546,000","-37,716,000","-37,716,000","-779,022,000","5,605,000","-709,551,000",-0.838,-0.838,"845,730,000","845,730,000","4,005,725,000","5,214,000","149,546,000","-144,332,000","-629,476,000"
12/31/17,"3,288,249,000","2,849,463,000","438,786,000","1,036,927,000","682,290,000","354,637,000","-598,141,000","-140,083,000","6,280,000","146,363,000","-41,677,000","-41,677,000","-779,901,000","-9,094,000","-675,350,000",-0.802,-0.802,"841,570,000","841,570,000","3,886,390,000","6,280,000","146,363,000","-140,083,000","-633,538,000"
